service,Apple TV＋,アニメ放題,ABEMAプレミアム,Amazonプライム・ビデオ,FODプレミアム,SPOOX（スプークス）,DAZN,dアニメストア,DMM TV,Disney＋（ディズニープラス）,TELASA（テラサ）,Netflix,バンダイチャンネル,Hulu,U‐NEXT,Lemino,NBA Rakuten,HISTORY ヒストリーチャンネル,Rakuten パ・リーグSpecial,その他,nonuser,residual
new0,24381,1052,52350,583609,99626,1425,2509790,186361,142731,203117,236260,170663,18080,356925,711671,133037,4246,625,102234,136691,821582,99249
new1,25353,398,85254,596494,62910,713,2201876,79099,85765,101672,557348,80176,10969,534397,298148,106660,1579,321,65242,287064,426466,46568
new2,11153,605,141889,870574,37100,735,941012,75017,52420,71169,639128,145564,6572,894298,176800,57160,2144,310,32900,485274,335372,35183
new3,18607,410,80906,749065,40272,765,1682461,71895,48461,84635,757514,88816,9096,631801,205884,74879,1623,267,54238,259728,336779,35424
new4,26677,483,73167,514583,79797,844,2322917,97557,98325,132176,339039,99605,12691,383536,443044,133910,1950,355,73814,209239,484754,53878
new5,23264,420,91408,576393,70011,729,2179713,81730,90478,100902,491897,88324,11099,514007,317052,113349,1687,306,66219,327915,441530,48446
new6,36639,855,78009,502730,80304,1348,2377834,155166,78205,172197,222143,133444,15746,341323,545418,134256,3544,456,91974,103504,639895,74127
new7,29819,1685,50030,634862,104305,2202,2164080,255765,150060,263034,170909,205925,19103,332888,877495,118566,6423,924,101001,70699,1002709,124708
new8,29740,493,70834,513088,73035,895,2594188,102819,91958,108154,390225,95472,13433,386939,411898,140737,2061,402,84623,153986,506539,56770
new9,33417,934,74063,524828,100027,1486,2281682,159341,130583,178951,216668,125715,14724,364609,562883,122645,3911,577,89676,116944,718553,84711
new10,14552,463,95720,755206,41285,716,1230068,69808,71152,74463,721678,101944,7547,767880,195624,66537,1665,277,38604,363978,327340,34211
new11,14983,501,131052,803846,38039,698,1127383,69774,57896,78813,707566,123381,7071,874610,184197,66323,1822,270,36621,428529,339287,35691
new12,16347,401,129956,758852,40375,653,1306187,61091,55074,82140,635991,100528,7258,723858,197882,72657,1492,239,39712,529483,319521,33320
new13,23960,381,122565,588915,54447,646,1929229,72405,56692,66456,645500,77954,9971,622419,219534,104299,1508,288,57927,299360,369499,39430
new14,23706,1051,45608,610418,102043,1786,2171632,172135,116289,230157,188142,162803,15668,289790,768304,118393,4210,655,91109,109326,731687,86575
new15,26685,514,134455,584797,71582,809,2104651,92883,72927,86906,415641,87733,11883,516621,313306,114847,2001,434,68438,324474,491808,54773
new16,17420,330,94801,606068,51173,610,1731707,60908,68901,70914,568902,78548,8517,534400,232422,89970,1293,272,50205,408781,316380,32919
new17,15560,571,117379,810150,37321,752,1331662,84426,47825,77411,705619,115821,8578,808902,180530,63695,2177,332,47093,348872,371187,39584
new18,16089,401,76454,697879,47673,714,1690293,71344,64424,80707,727467,92783,8983,643339,216603,79272,1604,256,53715,311290,343863,36286
new19,20058,372,80126,654288,52609,673,1863584,67927,50441,87745,703438,100361,9549,630086,267603,106960,1473,265,56694,301653,362703,38634
