,PC1,PC2,PC3,PC4,PC5,PC6
Apple TV＋,-3.3471768,1.0418302,1.761453,-3.8287978,-2.8612864,0.0983697
アニメ放題,8.370137,-1.6973691,2.1390674,-0.14747268,-0.40362784,-0.21486057
ABEMAプレミアム,-0.6732311,0.5542038,0.8799079,0.1977512,0.8639245,1.9365578
Amazonプライム・ビデオ,0.013275259,1.5670773,1.0051434,-0.107662864,0.65566105,-0.5345771
FODプレミアム,-1.987291,0.58585775,-0.5398475,1.6631306,1.6012378,0.44355446
SPOOX（スプークス）,3.2144089,4.5625067,-1.807913,-0.26255974,0.7080104,-1.4686141
DAZN,-4.3021092,-3.0749516,-2.4915988,-1.753059,1.2966405,-1.1768833
dアニメストア,2.3984475,-2.7016296,0.7492235,0.5101525,-0.7557226,-1.0115243
DMM TV,-0.1323554,-1.2889395,-0.85769975,3.4936006,-2.3629222,1.7523823
Disney＋（ディズニープラス）,-0.17978127,1.1284261,0.67468995,0.4056868,-0.30206984,-1.6533813
TELASA（テラサ）,-4.2674723,-0.24918607,1.373005,-0.6763308,0.18188277,0.31693196
Netflix,1.1198144,1.7330946,1.0395886,0.95560837,0.85963684,-1.3732004
バンダイチャンネル,-0.4306564,-3.3413827,0.3015641,0.87387013,-1.3083913,-1.4335977
Hulu,-0.5975034,0.5945402,2.3787086,-0.7684568,0.26332572,0.82100874
U‐NEXT,-0.32175604,1.1392299,0.22293787,0.71478975,-0.13265844,-0.9283959
Lemino,-4.7221766,1.7661678,-1.0007005,2.039757,-1.0873479,-0.6397483
NBA Rakuten,5.6429653,-1.1628016,-1.2757264,-1.1427066,1.4211267,0.30740753
HISTORY ヒストリーチャンネル,3.2388132,1.5933051,-3.445909,-1.3226092,-1.9038377,2.5220265
Rakuten パ・リーグSpecial,-1.2909455,-2.0932188,-2.5906558,-0.983912,0.84123707,-0.47816786
その他,-1.7454041,-0.65675884,1.4847616,0.13922127,2.4251816,2.7147114
new0,-28.607903,-8.228312,-10.800259,-0.13658667,-11.860422,-2.297257
new1,-34.071404,-6.7363133,-3.3627777,-3.9285626,-6.488109,6.8673053
new2,-38.90229,-6.0376964,6.411458,-3.8820887,3.8338737,18.40665
new3,-32.277306,-5.6119685,-0.37408876,-6.8656473,-2.2456608,5.3733053
new4,-32.696533,-6.5476246,-6.21215,-1.8087611,-8.747883,2.7990775
new5,-35.93016,-7.368162,-3.5690825,-2.4606872,-5.4642477,7.533747
new6,-25.289156,-5.4232845,-7.0553293,-5.3609576,-10.468611,-3.9322734
new7,-26.417316,-6.9438066,-14.202406,-2.5236502,-18.88572,-7.1697755
new8,-27.072462,-5.605172,-6.4335127,-3.3294168,-8.673076,1.2715588
new9,-20.556816,-4.5294323,-7.057524,-2.314855,-9.657764,-0.4640119
new10,-35.774956,-5.9968414,2.3627162,-3.0243955,-1.9172277,12.587487
new11,-37.569443,-5.6775846,5.119092,-4.5913157,0.2536583,14.316623
new12,-31.011547,-4.550397,3.0407534,-3.6981792,0.74821854,11.017358
new13,-33.956528,-6.291934,-1.2829769,-5.9684258,-4.1249905,8.223902
new14,-25.205585,-5.1217165,-11.180746,-1.100441,-11.027458,-4.1689606
new15,-21.774002,-4.289884,-2.7721715,-3.3976858,-3.9154112,5.9021206
new16,-35.99159,-6.338137,-1.7623341,-2.892904,-2.5542583,10.958516
new17,-33.812164,-6.826865,2.307518,-7.4952374,-0.0981083,10.915804
new18,-35.31263,-6.8494787,-0.733686,-3.9209838,-1.7413807,7.6874876
new19,-33.633514,-5.3150196,-0.9121437,-4.8552775,-2.4410872,5.33718
