service,from_existing,from_nonuser,total_inflow,nonuser_ratio,novelty,BlueOceanScore,estimated_sales
new15,540616.7261864478,206674.9162925691,747291.6424790169,0.27656527190235813,0.67845297,0.014021921049331516,896749970.9748203
new17,567787.9124602991,198883.36546659723,766671.2779268963,0.2594115251120196,0.6947917,0.013818250654539585,920005533.5122756
new7,487486.96974540426,200874.22133029296,688361.1910756973,0.2918151457905234,0.5928469,0.011908765346419332,826033429.2908368
new18,641864.5203884211,212008.92673666784,853873.447125089,0.24829080638410975,0.55278105,0.011719451616344172,1024648136.5501068
new13,555516.3706772111,195155.0126476499,750671.383324861,0.2599739606207881,0.57948893,0.011309017006564863,900805659.9898331
new11,738560.9647860699,227887.5971698709,966448.5619559408,0.23579899245611377,0.40867293,0.009313149177491186,1159738274.3471289
new3,649993.1294328113,162168.8946756405,812162.0241084518,0.19967554485653388,0.34724766,0.0056312769226860146,974594428.9301422
new1,915255.695013974,172461.06076666364,1087716.7557806377,0.15855328131163246,0.28098094,0.004845827176670982,1305260106.9367652
new6,1316890.0854684317,155889.57137008975,1472779.6568385216,0.10584717859609993,0.3018403,0.004705375581985648,1767335588.2062259
new0,1380091.1714935452,106226.81423469645,1486317.9857282415,0.07146977649109802,0.44194496,0.004694640482577477,1783581582.87389
new16,877219.0720221209,174411.55384977924,1051630.6258719002,0.1658486825687258,0.21383667,0.003729558587113657,1261956751.0462804
new9,1215939.220565615,159484.14818574477,1375423.3687513599,0.11595276902305947,0.21888947,0.003490940144627147,1650508042.5016317
new2,1196627.7462494355,135970.32499295796,1332598.0712423935,0.1020340100494004,0.2448752,0.0033295759526274743,1599117685.4908721
new10,1362310.265186178,191696.1858639728,1554006.4510501507,0.12335610687743946,0.16083825,0.0030832078365486243,1864807741.2601807
new8,858367.1477058184,115878.53077414243,974245.6784799608,0.11894179603130356,0.26603895,0.003082820314810228,1169094814.175953
new19,2115781.050250577,153366.0862460723,2269147.136496649,0.06758754590187359,0.18100834,0.002776054051932408,2722976563.795979
new5,2350713.7875325913,168067.61433895535,2518781.401871547,0.06672576437720039,0.13780397,0.0023160384781383964,3022537682.2458563
new14,3280264.4799418207,117971.86641401691,3398236.3463558373,0.03471561551053571,0.15462959,0.0018241941114188972,4077883615.6270046
new12,1881323.6323101744,128309.22246302983,2009632.8547732043,0.06384709632820472,0.13189882,0.001692383508934536,2411559425.727845
new4,1576154.1500912076,146119.46533413522,1722273.615425343,0.08484102875723884,0.11456269,0.001673983904774292,2066728338.5104115
